what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1287378459998
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1287378478585
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1287378480171
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1287378481273
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1287378485332
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1287378487742
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1287378488716
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1287378495615
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1287378497467
activated,perspective,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.DebugPerspective",1287378499887
activated,perspective,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.JavaPerspective",1287378504467
opened,view,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.views.ProblemView",1287378508633
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1287378512466
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1287378514216
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1287378517093
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1287378538382
activated,perspective,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.DebugPerspective",1287378538436
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1287378538831
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1287378560430
activated,view,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.DebugView",1287378563240
executed,command,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.commands.Resume",1287378563355
executed,command,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.commands.StepOver",1287378578528
executed,command,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.commands.StepOver",1287378582532
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1287378589670
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1287378589826
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1287378599141
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1287378603019
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1287378611293
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1287378622659
activated,view,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.DebugView",1287378663360
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1287378668863
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1287378672426
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1287378697569
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1287378755202
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1287378764198
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1287378771049
executed,command,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.commands.Resume",1287378774087
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1287378776932
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1287378793872
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1287378793944
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1287378793982
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1287378794884
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1287378822514
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1287378826480
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1287378828045
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1287378828637
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1287378841562
activated,perspective,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.JavaPerspective",1287378844107
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1287378850795
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1287378855111
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1287378855245
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1287378870184
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1287378870870
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1287378923201
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1287378924436
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1287379284472
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1287379300369
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1287379366657
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1287379367668
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1287379370931
closed,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1287379371726
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1287379372558
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1287379372563
stopped,bundle,org.eclipse.ant.launching,1.0.0.v20100427,"org.eclipse.ant.launching",1287379372625
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1287379372673
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1287453585322
started,bundle,org.eclipse.osgi,3.6.0.v20100517,"org.eclipse.osgi",1287453585323
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20100503,"org.eclipse.equinox.simpleconfigurator",1287453585329
started,bundle,com.ibm.icu,4.2.1.v20100412,"com.ibm.icu",1287453585330
started,bundle,org.eclipse.compare.core,3.5.100.I20100526-0800,"org.eclipse.compare.core",1287453585330
started,bundle,org.eclipse.core.contenttype,3.4.100.v20100505-1235,"org.eclipse.core.contenttype",1287453585331
started,bundle,org.eclipse.core.databinding.observable,1.3.0.I20100601-0800,"org.eclipse.core.databinding.observable",1287453585362
started,bundle,org.eclipse.core.expressions,3.4.200.v20100505,"org.eclipse.core.expressions",1287453585433
started,bundle,org.eclipse.core.filebuffers,3.5.100.v20100520-0800,"org.eclipse.core.filebuffers",1287453585433
started,bundle,org.eclipse.core.filesystem,1.3.0.v20100526-0737,"org.eclipse.core.filesystem",1287453585461
started,bundle,org.eclipse.core.jobs,3.5.0.v20100515,"org.eclipse.core.jobs",1287453585461
started,bundle,org.eclipse.core.net,1.2.100.I20100511-0800,"org.eclipse.core.net",1287453585489
started,bundle,org.eclipse.core.resources,3.6.0.v20100526-0737,"org.eclipse.core.resources",1287453585506
started,bundle,org.eclipse.core.runtime,3.6.0.v20100505,"org.eclipse.core.runtime",1287453585526
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1287453585568
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20100517,"org.eclipse.core.runtime.compatibility.auth",1287453585590
